"Country";"Dates";"TotalCases";"DailyNewCases";"ActiveCases";"TotalDeaths";"DailyNewDeaths";"created_at"
"US";"2020-02-15";15;0;12;0;0;"2020-05-09 12:49:35"
"US";"2020-02-16";15;0;12;0;0;"2020-05-09 12:49:35"
"US";"2020-02-17";15;0;12;0;0;"2020-05-09 12:49:35"
"US";"2020-02-18";15;0;12;0;0;"2020-05-09 12:49:35"
"US";"2020-02-19";15;0;12;0;0;"2020-05-09 12:49:35"
"US";"2020-02-20";15;0;10;0;0;"2020-05-09 12:49:35"
"US";"2020-02-21";35;20;29;0;0;"2020-05-09 12:49:35"
"US";"2020-02-22";35;0;29;0;0;"2020-05-09 12:49:35"
"US";"2020-02-23";35;0;28;0;0;"2020-05-09 12:49:35"
"US";"2020-02-24";53;18;48;0;0;"2020-05-09 12:49:35"
"US";"2020-02-25";57;4;51;0;0;"2020-05-09 12:49:35"
"US";"2020-02-26";60;3;54;0;0;"2020-05-09 12:49:35"
"US";"2020-02-27";60;0;54;0;0;"2020-05-09 12:49:35"
"US";"2020-02-28";63;3;57;0;0;"2020-05-09 12:49:35"
"US";"2020-02-29";68;5;60;1;1;"2020-05-09 12:49:35"
"US";"2020-03-01";75;7;65;1;0;"2020-05-09 12:49:35"
"US";"2020-03-02";100;25;85;6;5;"2020-05-09 12:49:35"
"US";"2020-03-03";124;24;106;9;3;"2020-05-09 12:49:35"
"US";"2020-03-04";158;34;138;11;2;"2020-05-09 12:49:35"
"US";"2020-03-05";221;63;200;12;1;"2020-05-09 12:49:35"
"US";"2020-03-06";319;98;289;15;3;"2020-05-09 12:49:35"
"US";"2020-03-07";435;116;401;19;4;"2020-05-09 12:49:35"
"US";"2020-03-08";541;106;504;22;3;"2020-05-09 12:49:35"
"US";"2020-03-09";704;163;663;26;4;"2020-05-09 12:49:35"
"US";"2020-03-10";994;290;949;30;4;"2020-05-09 12:49:35"
"US";"2020-03-11";1301;307;1248;38;8;"2020-05-09 12:49:35"
