Dates,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
"Feb 15",72,0,54,0,0
"Feb 16",75,3,56,0,0
"Feb 17",77,2,53,0,0
"Feb 18",81,4,52,0,0
"Feb 19",84,3,50,0,0
"Feb 20",85,1,48,0,0
"Feb 21",86,1,39,0,0
"Feb 22",89,3,40,0,0
"Feb 23",89,0,38,0,0
"Feb 24",90,1,41,0,0
"Feb 25",91,1,33,0,0
"Feb 26",93,2,31,0,0
"Feb 27",96,3,30,0,0
"Feb 28",98,2,29,0,0
"Feb 29",102,4,30,0,0
"Mar 01",106,4,32,0,0
"Mar 02",108,2,30,0,0
"Mar 03",110,2,32,0,0
"Mar 04",112,2,33,0,0
"Mar 05",117,5,36,0,0
"Mar 06",130,13,48,0,0
"Mar 07",138,8,48,0,0
"Mar 08",150,12,60,0,0
"Mar 09",160,10,67,0,0
"Mar 10",166,6,73,0,0
"Mar 11",178,12,82,0,0
"Mar 12",187,9,91,0,0
"Mar 13",200,13,103,0,0
"Mar 14",212,12,107,0,0
"Mar 15",226,14,121,0,0
"Mar 16",243,17,134,0,0
"Mar 17",266,23,152,0,0
"Mar 18",313,47,196,0,0
"Mar 19",345,32,221,0,0
"Mar 20",385,40,254,0,0
"Mar 21",432,47,290,2,2
"Mar 22",455,23,309,2,0
"Mar 23",509,54,355,2,0
"Mar 24",558,49,400,2,0
"Mar 25",631,73,469,2,0
"Mar 26",683,52,509,2,0
"Mar 27",732,49,547,2,0
"Mar 28",802,70,602,2,0
"Mar 29",844,42,629,3,1
"Mar 30",879,35,648,3,0
"Mar 31",926,47,683,3,0
"Apr 01",1000,74,752,3,0
"Apr 02",1049,49,779,4,1
"Apr 03",1114,65,827,5,1
"Apr 04",1189,75,886,6,1
"Apr 05",1309,120,983,6,0
"Apr 06",1375,66,1025,6,0

