Dates,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
"Feb 15",0,0,0,0,0
"Feb 16",0,0,0,0,0
"Feb 17",0,0,0,0,0
"Feb 18",0,0,0,0,0
"Feb 19",0,0,0,0,0
"Feb 20",0,0,0,0,0
"Feb 21",0,0,0,0,0
"Feb 22",0,0,0,0,0
"Feb 23",0,0,0,0,0
"Feb 24",0,0,0,0,0
"Feb 25",0,0,0,0,0
"Feb 26",0,0,0,0,0
"Feb 27",0,0,0,0,0
"Feb 28",0,0,0,0,0
"Feb 29",0,0,0,0,0
"Mar 01",0,0,0,0,0
"Mar 02",0,0,0,0,0
"Mar 03",0,0,0,0,0
"Mar 04",0,0,0,0,0
"Mar 05",0,0,0,0,0
"Mar 06",0,0,0,0,0
"Mar 07",0,0,0,0,0
"Mar 08",2,0,2,0,0
"Mar 09",6,4,6,0,0
"Mar 10",10,4,10,0,0
"Mar 11",15,5,14,1,0
"Mar 12",23,8,22,1,0
"Mar 13",33,10,32,1,0
"Mar 14",38,5,37,1,0
"Mar 15",42,4,41,1,0
"Mar 16",51,9,50,1,0
"Mar 17",55,4,54,1,0
"Mar 18",59,4,57,2,1
"Mar 19",64,5,62,2,0
"Mar 20",70,6,66,2,0
"Mar 21",76,6,72,2,0
"Mar 22",89,13,85,2,0
"Mar 23",104,15,98,4,2
"Mar 24",123,19,108,5,1
"Mar 25",146,23,124,5,0
"Mar 26",174,28,151,6,1
"Mar 27",186,12,147,8,2
"Mar 28",197,11,156,10,2
"Mar 29",212,15,169,10,0
"Mar 30",223,11,168,11,1
"Mar 31",243,20,176,15,4
"Apr 01",259,16,177,15,0
"Apr 02",277,18,185,16,1
"Apr 03",304,27,198,17,1
"Apr 04",333,29,214,20,3
"Apr 05",361,28,237,20,0

