Dates,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
"Feb 15",0,0,0,0,0
"Feb 16",0,0,0,0,0
"Feb 17",0,0,0,0,0
"Feb 18",0,0,0,0,0
"Feb 19",0,0,0,0,0
"Feb 20",0,0,0,0,0
"Feb 21",0,0,0,0,0
"Feb 22",0,0,0,0,0
"Feb 23",0,0,0,0,0
"Feb 24",0,0,0,0,0
"Feb 25",1,0,1,0,0
"Feb 26",1,0,1,0,0
"Feb 27",1,0,1,0,0
"Feb 28",1,0,1,0,0
"Feb 29",1,0,1,0,0
"Mar 01",3,2,3,0,0
"Mar 02",5,2,5,0,0
"Mar 03",8,3,8,0,0
"Mar 04",17,9,17,0,0
"Mar 05",17,0,17,0,0
"Mar 06",17,0,17,0,0
"Mar 07",19,2,19,0,0
"Mar 08",20,1,20,0,0
"Mar 09",20,0,20,0,0
"Mar 10",20,0,20,0,0
"Mar 11",20,0,12,0,0
"Mar 12",26,6,14,2,2
"Mar 13",26,0,14,2,0
"Mar 14",39,13,26,3,1
"Mar 15",54,15,40,4,1
"Mar 16",60,6,46,4,0
"Mar 17",61,1,46,5,1
"Mar 18",75,14,36,7,2
"Mar 19",90,15,49,9,2
"Mar 20",94,4,51,11,2
"Mar 21",139,45,59,15,4
"Mar 22",201,62,119,17,2
"Mar 23",230,29,148,17,0
"Mar 24",264,34,221,19,2
"Mar 25",302,38,216,21,2
"Mar 26",367,65,313,25,4
"Mar 27",409,42,354,26,1
"Mar 28",454,45,394,29,3
"Mar 29",511,57,449,31,2
"Mar 30",584,73,512,35,4
"Mar 31",716,132,626,44,9
"Apr 01",847,131,728,58,14
"Apr 02",986,139,839,86,28
"Apr 03",1171,185,1004,105,19
"Apr 04",1251,80,1031,130,25
"Apr 05",1320,69,1078,152,22
"Apr 06",1423,103,1160,173,21

