Dates,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
"Feb 15",1,0,0,0,0
"Feb 16",1,0,0,0,0
"Feb 17",1,0,0,0,0
"Feb 18",1,0,0,0,0
"Feb 19",1,0,0,0,0
"Feb 20",1,0,0,0,0
"Feb 21",1,0,0,0,0
"Feb 22",1,0,0,0,0
"Feb 23",1,0,0,0,0
"Feb 24",1,0,0,0,0
"Feb 25",1,0,0,0,0
"Feb 26",1,0,0,0,0
"Feb 27",1,0,0,0,0
"Feb 28",1,0,0,0,0
"Feb 29",1,0,0,0,0
"Mar 01",2,1,1,0,0
"Mar 02",8,6,7,0,0
"Mar 03",15,7,14,0,0
"Mar 04",23,8,22,0,0
"Mar 05",50,27,49,0,0
"Mar 06",109,59,108,0,0
"Mar 07",169,60,168,0,0
"Mar 08",200,31,199,0,0
"Mar 09",239,39,238,0,0
"Mar 10",267,28,266,0,0
"Mar 11",314,47,310,3,3
"Mar 12",399,85,395,3,0
"Mar 13",559,160,555,3,0
"Mar 14",689,130,684,4,1
"Mar 15",886,197,881,4,0
"Mar 16",1058,172,1047,10,6
"Mar 17",1243,185,1219,10,0
"Mar 18",1486,243,1441,14,4
"Mar 19",1795,309,1609,21,7
"Mar 20",2257,462,2016,37,16
"Mar 21",2815,558,2485,67,30
"Mar 22",3401,586,3063,75,8
"Mar 23",3743,342,3254,88,13
"Mar 24",4269,526,3686,122,34
"Mar 25",4937,668,4212,178,56
"Mar 26",6235,1298,5340,220,42
"Mar 27",7284,1049,6137,289,69
"Mar 28",9134,1850,7718,353,64
"Mar 29",10836,1702,9046,431,78
"Mar 30",11899,1063,9859,513,82
"Mar 31",12775,876,10374,705,192
"Apr 01",13964,1189,11004,828,123
"Apr 02",15348,1384,11842,1011,183
"Apr 03",16770,1422,12755,1143,132
"Apr 04",18431,1661,13901,1283,140
"Apr 05",19691,1260,14493,1447,164
"Apr 06",20814,1123,15196,1632,185

