Dates,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
"Feb 15",0,0,0,0,0
"Feb 16",0,0,0,0,0
"Feb 17",0,0,0,0,0
"Feb 18",0,0,0,0,0
"Feb 19",0,0,0,0,0
"Feb 20",0,0,0,0,0
"Feb 21",0,0,0,0,0
"Feb 22",0,0,0,0,0
"Feb 23",0,0,0,0,0
"Feb 24",0,0,0,0,0
"Feb 25",0,0,0,0,0
"Feb 26",0,0,0,0,0
"Feb 27",0,0,0,0,0
"Feb 28",0,0,0,0,0
"Feb 29",0,0,0,0,0
"Mar 01",0,0,0,0,0
"Mar 02",0,0,0,0,0
"Mar 03",0,0,0,0,0
"Mar 04",0,0,0,0,0
"Mar 05",2,0,2,0,0
"Mar 06",3,1,3,0,0
"Mar 07",3,0,3,0,0
"Mar 08",3,0,3,0,0
"Mar 09",5,2,5,0,0
"Mar 10",7,2,7,0,0
"Mar 11",7,0,7,0,0
"Mar 12",11,4,11,0,0
"Mar 13",18,7,18,0,0
"Mar 14",21,3,21,0,0
"Mar 15",24,3,24,0,0
"Mar 16",25,1,23,0,0
"Mar 17",34,9,32,0,0
"Mar 18",39,5,37,0,0
"Mar 19",64,25,62,0,0
"Mar 20",89,25,87,0,0
"Mar 21",93,4,90,1,0
"Mar 22",126,33,123,1,0
"Mar 23",136,10,133,1,0
"Mar 24",168,32,163,3,2
"Mar 25",176,8,171,3,0
"Mar 26",191,15,186,3,0
"Mar 27",237,46,228,4,1
"Mar 28",278,41,264,6,2
"Mar 29",323,45,309,6,0
"Mar 30",368,45,341,10,4
"Mar 31",420,52,390,13,3
"Apr 01",459,39,427,13,0
"Apr 02",533,74,497,16,3
"Apr 03",579,46,535,17,1
"Apr 04",624,45,573,21,4
"Apr 05",654,30,601,23,2

