Dates,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
"Feb 15",0,0,0,0,0
"Feb 16",0,0,0,0,0
"Feb 17",0,0,0,0,0
"Feb 18",0,0,0,0,0
"Feb 19",0,0,0,0,0
"Feb 20",0,0,0,0,0
"Feb 21",0,0,0,0,0
"Feb 22",0,0,0,0,0
"Feb 23",0,0,0,0,0
"Feb 24",0,0,0,0,0
"Feb 25",1,0,1,0,0
"Feb 26",1,0,1,0,0
"Feb 27",1,0,1,0,0
"Feb 28",1,0,1,0,0
"Feb 29",2,1,2,0,0
"Mar 01",2,0,2,0,0
"Mar 02",2,0,2,0,0
"Mar 03",2,0,2,0,0
"Mar 04",3,1,3,0,0
"Mar 05",8,5,8,0,0
"Mar 06",13,5,13,0,0
"Mar 07",19,6,19,0,0
"Mar 08",25,6,25,0,0
"Mar 09",25,0,25,0,0
"Mar 10",34,9,34,0,0
"Mar 11",52,18,52,0,0
"Mar 12",77,25,77,0,0
"Mar 13",151,74,150,0,0
"Mar 14",151,0,150,0,0
"Mar 15",200,49,198,0,0
"Mar 16",234,34,232,0,0
"Mar 17",346,112,343,1,1
"Mar 18",529,183,523,4,3
"Mar 19",640,111,631,7,3
"Mar 20",970,330,957,11,4
"Mar 21",1178,208,1158,18,7
"Mar 22",1546,368,1519,25,7
"Mar 23",1924,378,1888,34,9
"Mar 24",2247,323,2199,46,12
"Mar 25",2554,307,2493,59,13
"Mar 26",2985,431,2902,77,18
"Mar 27",3417,432,3319,92,15
"Mar 28",3904,487,3784,114,22
"Mar 29",4256,352,4114,136,22
"Mar 30",4630,374,4347,163,27
"Mar 31",5717,1087,5389,201,38
"Apr 01",6880,1163,6511,242,41
"Apr 02",8044,1164,7593,324,82
"Apr 03",9194,1150,8704,363,39
"Apr 04",10360,1166,9788,445,82
"Apr 05",11254,894,10641,486,41
"Apr 06",12183,929,11492,564,78

