Dates,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
"Feb 15",0,0,0,0,0
"Feb 16",0,0,0,0,0
"Feb 17",0,0,0,0,0
"Feb 18",0,0,0,0,0
"Feb 19",0,0,0,0,0
"Feb 20",0,0,0,0,0
"Feb 21",0,0,0,0,0
"Feb 22",0,0,0,0,0
"Feb 23",0,0,0,0,0
"Feb 24",0,0,0,0,0
"Feb 25",0,0,0,0,0
"Feb 26",0,0,0,0,0
"Feb 27",0,0,0,0,0
"Feb 28",0,0,0,0,0
"Feb 29",0,0,0,0,0
"Mar 01",0,0,0,0,0
"Mar 02",0,0,0,0,0
"Mar 03",0,0,0,0,0
"Mar 04",0,0,0,0,0
"Mar 05",0,0,0,0,0
"Mar 06",0,0,0,0,0
"Mar 07",2,0,2,0,0
"Mar 08",4,2,4,0,0
"Mar 09",4,0,4,0,0
"Mar 10",6,2,6,0,0
"Mar 11",7,1,6,1,0
"Mar 12",23,16,22,1,0
"Mar 13",31,8,30,1,0
"Mar 14",41,10,39,2,1
"Mar 15",51,10,49,2,0
"Mar 16",62,11,60,2,0
"Mar 17",81,19,79,2,0
"Mar 18",92,11,90,2,0
"Mar 19",107,15,104,3,1
"Mar 20",127,20,123,3,0
"Mar 21",163,36,157,3,0
"Mar 22",187,24,181,3,0
"Mar 23",201,14,195,3,0
"Mar 24",218,17,212,3,0
"Mar 25",242,24,235,3,0
"Mar 26",264,22,253,3,0
"Mar 27",293,29,281,3,0
"Mar 28",331,38,313,7,4
"Mar 29",346,15,324,8,1
"Mar 30",359,13,334,8,0
"Mar 31",399,40,374,8,0
"Apr 01",422,23,392,10,2
"Apr 02",457,35,422,10,0
"Apr 03",485,28,441,14,4
"Apr 04",503,18,452,17,3
"Apr 05",531,28,474,20,3

