Dates,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
"Feb 15",8,0,7,0,0
"Feb 16",8,0,7,0,0
"Feb 17",8,0,7,0,0
"Feb 18",8,0,7,0,0
"Feb 19",8,0,7,0,0
"Feb 20",8,0,6,0,0
"Feb 21",9,1,6,0,0
"Feb 22",9,0,6,0,0
"Feb 23",10,1,7,0,0
"Feb 24",11,1,8,0,0
"Feb 25",11,0,8,0,0
"Feb 26",12,1,9,0,0
"Feb 27",14,2,11,0,0
"Feb 28",15,1,12,0,0
"Feb 29",20,5,16,0,0
"Mar 01",24,4,20,0,0
"Mar 02",27,3,20,0,0
"Mar 03",30,3,23,0,0
"Mar 04",34,4,27,0,0
"Mar 05",37,3,29,0,0
"Mar 06",54,17,46,0,0
"Mar 07",60,6,52,0,0
"Mar 08",66,6,58,0,0
"Mar 09",77,11,68,1,1
"Mar 10",95,18,86,1,0
"Mar 11",110,15,100,1,0
"Mar 12",142,32,130,1,0
"Mar 13",198,56,186,1,0
"Mar 14",252,54,240,1,0
"Mar 15",341,89,329,1,0
"Mar 16",441,100,426,4,3
"Mar 17",598,157,578,8,4
"Mar 18",727,129,706,9,1
"Mar 19",873,146,850,12,3
"Mar 20",1087,214,1061,12,0
"Mar 21",1328,241,1295,19,7
"Mar 22",1470,142,1436,20,1
"Mar 23",2091,621,1747,24,4
"Mar 24",2792,701,2654,26,2
"Mar 25",3409,617,3188,36,10
"Mar 26",4043,634,3776,39,3
"Mar 27",4757,714,4348,55,16
"Mar 28",5655,898,5199,60,5
"Mar 29",6320,665,5682,65,5
"Mar 30",7448,1128,6266,89,24
"Mar 31",8612,1164,7269,101,12
"Apr 01",9731,1119,7881,114,13
"Apr 02",11283,1552,9131,173,59
"Apr 03",12375,1092,9981,208,35
"Apr 04",13912,1537,11086,231,23
"Apr 05",15512,1600,12290,280,49

