Dates,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
"Jan 22",571,0,554,17,0
"Jan 23",830,259,771,25,8
"Jan 24",1287,457,1208,41,16
"Jan 25",1975,688,1870,56,15
"Jan 26",2744,769,2613,80,24
"Jan 27",4515,1771,4349,106,26
"Jan 28",5974,1459,5739,132,26
"Jan 29",7711,1737,7417,170,38
"Jan 30",9692,1981,9308,213,43
"Jan 31",11791,2099,11289,259,46
"Feb 01",14380,2589,13748,304,45
"Feb 02",17205,2825,16369,361,57
"Feb 03",20440,3235,19383,425,64
"Feb 04",24324,3884,22942,490,65
"Feb 05",28018,3694,26302,563,73
"Feb 06",31161,3143,28985,636,73
"Feb 07",34546,3385,31774,722,86
"Feb 08",37198,2652,33738,811,89
"Feb 09",40171,2973,35982,908,97
"Feb 10",42638,2467,37626,1016,108
"Feb 11",44653,2015,38791,1113,97
"Feb 12",58761,14108,51591,1259,146
"Feb 13",63851,5090,55748,1380,121
"Feb 14",66492,2641,56873,1523,143
"Feb 15",68500,2008,57416,1665,142
"Feb 16",70548,2048,57934,1770,105
"Feb 17",72436,1888,58016,1868,98
"Feb 18",74185,1749,57805,2004,136
"Feb 19",74576,391,56301,2118,114
"Feb 20",75465,889,54921,2236,118
"Feb 21",76288,823,53284,2345,109
"Feb 22",76936,648,52093,2442,97
"Feb 23",77150,214,49824,2592,150
"Feb 24",77658,508,47765,2663,71
"Feb 25",78064,406,45600,2715,52
"Feb 26",78497,433,43258,2744,29
"Feb 27",78824,327,39919,2788,44
"Feb 28",79251,427,37414,2835,47
"Feb 29",79824,573,35129,2870,35
"Mar 01",80026,202,32616,2912,42
"Mar 02",80151,125,30004,2943,31
"Mar 03",80270,119,27423,2981,38
"Mar 04",80409,139,25353,3012,31
"Mar 05",80552,143,23784,3042,30
"Mar 06",80651,99,22179,3070,28
"Mar 07",80695,44,20533,3097,27
"Mar 08",80735,40,19016,3119,22
"Mar 09",80754,19,17721,3136,17
"Mar 10",80778,24,16136,3158,22
"Mar 11",80793,15,14831,3169,11
"Mar 12",80813,20,13524,3176,7
"Mar 13",80824,11,12088,3189,13
"Mar 14",80844,20,10733,3199,10
"Mar 15",80860,16,9893,3213,14
"Mar 16",80881,21,8967,3226,13
"Mar 17",80894,13,8056,3237,11
"Mar 18",80928,34,7263,3245,8
"Mar 19",80967,39,6569,3248,3
"Mar 20",81008,41,6013,3255,7
"Mar 21",81054,46,5353,3261,6
"Mar 22",81093,39,5120,3270,9
"Mar 23",81171,78,4735,3277,7
"Mar 24",81218,47,4287,3281,4
"Mar 25",81285,67,3947,3287,6
"Mar 26",81340,55,3460,3292,5
"Mar 27",81394,54,3128,3295,3
"Mar 28",81439,45,2691,3300,5
"Mar 29",81439,0,2691,3300,0
"Mar 30",81518,79,2161,3305,5
"Mar 31",81554,36,2004,3312,7
"Apr 01",81589,35,1863,3318,6
"Apr 02",81620,31,1727,3322,4
"Apr 03",81639,19,1558,3326,4
"Apr 04",81669,30,1376,3329,3
"Apr 05",81708,39,1299,3331,2
"Apr 06",81740,32,1242,3331,0

