Dates,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
"Feb 15",1,0,0,0,0
"Feb 16",1,0,0,0,0
"Feb 17",1,0,0,0,0
"Feb 18",1,0,0,0,0
"Feb 19",1,0,0,0,0
"Feb 20",1,0,0,0,0
"Feb 21",1,0,0,0,0
"Feb 22",1,0,0,0,0
"Feb 23",1,0,0,0,0
"Feb 24",1,0,0,0,0
"Feb 25",1,0,0,0,0
"Feb 26",2,1,1,0,0
"Feb 27",2,0,1,0,0
"Feb 28",3,1,2,0,0
"Feb 29",3,0,2,0,0
"Mar 01",6,3,5,0,0
"Mar 02",7,1,6,0,0
"Mar 03",7,0,6,0,0
"Mar 04",7,0,6,0,0
"Mar 05",12,5,11,0,0
"Mar 06",15,3,14,0,0
"Mar 07",19,4,18,0,0
"Mar 08",25,6,24,0,0
"Mar 09",33,8,32,0,0
"Mar 10",40,7,39,0,0
"Mar 11",65,25,64,0,0
"Mar 12",109,44,108,0,0
"Mar 13",155,46,154,0,0
"Mar 14",225,70,215,0,0
"Mar 15",244,19,234,0,0
"Mar 16",278,34,268,0,0
"Mar 17",322,44,312,0,0
"Mar 18",359,37,349,0,0
"Mar 19",400,41,390,0,0
"Mar 20",450,50,440,0,0
"Mar 21",523,73,512,1,1
"Mar 22",626,103,615,1,0
"Mar 23",700,74,689,1,0
"Mar 24",792,92,781,1,0
"Mar 25",880,88,867,3,2
"Mar 26",958,78,943,5,2
"Mar 27",1041,83,1024,7,2
"Mar 28",1167,126,1148,9,2
"Mar 29",1240,73,1219,11,2
"Mar 30",1352,112,1329,13,2
"Mar 31",1418,66,1391,17,4
"Apr 01",1446,28,1419,17,0
"Apr 02",1518,72,1199,19,2
"Apr 03",1615,97,1295,20,1
"Apr 04",1882,267,1557,25,5
"Apr 05",1927,45,1599,28,3

