Dates,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
"Feb 15",12,0,7,1,0
"Feb 16",12,0,7,1,0
"Feb 17",12,0,6,1,0
"Feb 18",12,0,4,1,0
"Feb 19",12,0,4,1,0
"Feb 20",12,0,4,1,0
"Feb 21",12,0,4,1,0
"Feb 22",12,0,1,1,0
"Feb 23",12,0,1,1,0
"Feb 24",12,0,0,1,0
"Feb 25",14,2,2,1,0
"Feb 26",18,4,5,2,1
"Feb 27",38,20,25,2,0
"Feb 28",57,19,44,2,0
"Feb 29",100,43,86,2,0
"Mar 01",130,30,116,2,0
"Mar 02",191,61,176,3,1
"Mar 03",212,21,196,4,1
"Mar 04",285,73,269,4,0
"Mar 05",423,138,404,7,3
"Mar 06",653,230,632,9,2
"Mar 07",949,296,921,16,7
"Mar 08",1209,260,1178,19,3
"Mar 09",1412,203,1370,30,11
"Mar 10",1784,372,1739,33,3
"Mar 11",2281,497,2221,48,15
"Mar 12",2876,595,2803,61,13
"Mar 13",3661,785,3570,79,18
"Mar 14",4499,838,4396,91,12
"Mar 15",5423,924,5284,127,36
"Mar 16",6633,1210,6473,148,21
"Mar 17",7730,1097,6953,175,27
"Mar 18",9134,1404,8268,264,89
"Mar 19",10995,1861,9328,372,108
"Mar 20",12612,1617,10575,450,78
"Mar 21",14459,1847,12310,562,112
"Mar 22",16018,1559,13144,674,112
"Mar 23",19856,3838,16796,860,186
"Mar 24",22304,2448,17923,1100,240
"Mar 25",25233,2929,20002,1331,231
"Mar 26",29155,3922,22511,1696,365
"Mar 27",32964,3809,25269,1995,299
"Mar 28",37575,4611,29561,2314,319
"Mar 29",40174,2599,30366,2606,292
"Mar 30",44550,4376,33599,3024,418
"Mar 31",52128,7578,39161,3523,499
"Apr 01",56989,4861,42022,4032,509
"Apr 02",59105,2116,41290,5387,1355
"Apr 03",82165,23060,61650,6507,1120
"Apr 04",89953,7788,66955,7560,1053
"Apr 05",92839,2886,68578,8078,518

