Dates,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
"Feb 15",16,0,13,0,0
"Feb 16",16,0,13,0,0
"Feb 17",16,0,9,0,0
"Feb 18",16,0,7,0,0
"Feb 19",16,0,7,0,0
"Feb 20",16,0,3,0,0
"Feb 21",16,0,2,0,0
"Feb 22",16,0,2,0,0
"Feb 23",16,0,2,0,0
"Feb 24",16,0,2,0,0
"Feb 25",18,2,3,0,0
"Feb 26",26,8,11,0,0
"Feb 27",48,22,32,0,0
"Feb 28",74,26,58,0,0
"Feb 29",79,5,63,0,0
"Mar 01",130,51,114,0,0
"Mar 02",165,35,149,0,0
"Mar 03",203,38,187,0,0
"Mar 04",262,59,246,0,0
"Mar 05",545,283,528,0,0
"Mar 06",670,125,652,0,0
"Mar 07",800,130,782,0,0
"Mar 08",1040,240,1022,0,0
"Mar 09",1224,184,1204,2,2
"Mar 10",1565,341,1545,2,0
"Mar 11",1966,401,1938,3,1
"Mar 12",2745,779,2714,6,3
"Mar 13",3675,930,3621,8,2
"Mar 14",4599,924,4544,9,1
"Mar 15",5813,1214,5754,13,4
"Mar 16",7272,1459,7188,17,4
"Mar 17",9367,2095,9274,26,9
"Mar 18",12327,2960,12194,28,2
"Mar 19",15320,2993,15161,44,16
"Mar 20",19848,4528,19600,68,24
"Mar 21",22364,2516,22071,84,16
"Mar 22",24873,2509,24513,94,10
"Mar 23",29056,4183,28480,123,29
"Mar 24",32991,3935,29542,159,36
"Mar 25",37323,4332,33570,206,47
"Mar 26",43938,6615,37998,267,61
"Mar 27",50871,6933,43862,351,84
"Mar 28",57695,6824,48781,433,82
"Mar 29",62435,4740,52683,541,108
"Mar 30",66885,4450,52740,645,104
"Mar 31",71808,4923,54933,775,130
"Apr 01",77981,6173,58350,931,156
"Apr 02",84794,6813,61247,1107,176
"Apr 03",91159,6365,65309,1275,168
"Apr 04",96092,4933,68248,1444,169
"Apr 05",100123,4031,69839,1584,140

