Dates,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
"Feb 15",0,0,0,0,0
"Feb 16",0,0,0,0,0
"Feb 17",0,0,0,0,0
"Feb 18",0,0,0,0,0
"Feb 19",0,0,0,0,0
"Feb 20",0,0,0,0,0
"Feb 21",0,0,0,0,0
"Feb 22",0,0,0,0,0
"Feb 23",0,0,0,0,0
"Feb 24",0,0,0,0,0
"Feb 25",0,0,0,0,0
"Feb 26",0,0,0,0,0
"Feb 27",0,0,0,0,0
"Feb 28",0,0,0,0,0
"Feb 29",0,0,0,0,0
"Mar 01",0,0,0,0,0
"Mar 02",0,0,0,0,0
"Mar 03",0,0,0,0,0
"Mar 04",0,0,0,0,0
"Mar 05",0,0,0,0,0
"Mar 06",0,0,0,0,0
"Mar 07",0,0,0,0,0
"Mar 08",0,0,0,0,0
"Mar 09",0,0,0,0,0
"Mar 10",0,0,0,0,0
"Mar 11",2,0,2,0,0
"Mar 12",2,0,2,0,0
"Mar 13",2,0,2,0,0
"Mar 14",3,1,3,0,0
"Mar 15",3,0,3,0,0
"Mar 16",6,3,6,0,0
"Mar 17",8,2,8,0,0
"Mar 18",9,1,9,0,0
"Mar 19",12,3,12,0,0
"Mar 20",24,12,24,0,0
"Mar 21",24,0,24,0,0
"Mar 22",26,2,26,0,0
"Mar 23",30,4,30,0,0
"Mar 24",30,0,30,0,0
"Mar 25",52,22,52,0,0
"Mar 26",67,15,66,1,0
"Mar 27",68,1,67,1,0
"Mar 28",95,27,91,1,0
"Mar 29",110,15,104,3,2
"Mar 30",139,29,129,7,4
"Mar 31",141,2,131,7,0
"Apr 01",172,31,159,10,3
"Apr 02",219,47,202,14,4
"Apr 03",222,3,204,15,1
"Apr 04",264,42,246,15,0
"Apr 05",268,4,240,22,7

