Dates,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
"Feb 15",0,0,0,0,0
"Feb 16",0,0,0,0,0
"Feb 17",0,0,0,0,0
"Feb 18",0,0,0,0,0
"Feb 19",2,0,0,2,0
"Feb 20",5,3,3,2,0
"Feb 21",18,13,14,4,2
"Feb 22",29,11,23,6,2
"Feb 23",43,14,34,8,2
"Feb 24",61,18,46,12,4
"Feb 25",95,34,54,16,4
"Feb 26",139,44,95,19,3
"Feb 27",245,106,165,26,7
"Feb 28",388,143,281,34,8
"Feb 29",593,205,427,43,9
"Mar 01",978,385,749,54,11
"Mar 02",1501,523,1144,66,12
"Mar 03",2336,835,1824,77,11
"Mar 04",2922,586,2278,92,15
"Mar 05",3513,591,2666,108,16
"Mar 06",4747,1234,3710,124,16
"Mar 07",5823,1076,4009,145,21
"Mar 08",6566,743,4238,194,49
"Mar 09",7161,595,4530,237,43
"Mar 10",8042,881,5020,291,54
"Mar 11",9000,958,5687,354,63
"Mar 12",10075,1075,6370,429,75
"Mar 13",11364,1289,7321,514,85
"Mar 14",12729,1365,7779,611,97
"Mar 15",13938,1209,8624,724,113
"Mar 16",14991,1053,9142,853,129
"Mar 17",16169,1178,9792,988,135
"Mar 18",17361,1192,10516,1135,147
"Mar 19",18407,1046,11144,1284,149
"Mar 20",19644,1237,11466,1433,149
"Mar 21",20610,966,11419,1556,123
"Mar 22",21638,1028,12040,1685,129
"Mar 23",23049,1411,12861,1812,127
"Mar 24",24811,1762,13964,1934,122
"Mar 25",27017,2206,15315,2077,143
"Mar 26",29406,2389,16715,2234,157
"Mar 27",32332,2926,18821,2378,144
"Mar 28",35408,3076,21212,2517,139
"Mar 29",38309,2901,23278,2640,123
"Mar 30",41495,3186,24827,2757,117
"Mar 31",44605,3110,27051,2898,141
"Apr 01",47593,2988,29084,3036,138
"Apr 02",50468,2875,30597,3160,124
"Apr 03",53183,2715,31954,3294,134
"Apr 04",55743,2560,32555,3452,158
"Apr 05",58226,2483,32612,3603,151
"Apr 06",60500,2274,32525,3739,136

