Dates,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
"Feb 15",3,0,3,0,0
"Feb 16",3,0,3,0,0
"Feb 17",3,0,3,0,0
"Feb 18",3,0,3,0,0
"Feb 19",3,0,3,0,0
"Feb 20",4,1,4,0,0
"Feb 21",21,17,19,1,1
"Feb 22",79,58,75,2,1
"Feb 23",157,78,152,3,1
"Feb 24",229,72,221,7,4
"Feb 25",323,94,310,11,4
"Feb 26",470,147,455,12,1
"Feb 27",655,185,593,17,5
"Feb 28",889,234,822,21,4
"Feb 29",1128,239,1049,29,8
"Mar 01",1701,573,1577,41,12
"Mar 02",2036,335,1835,52,11
"Mar 03",2502,466,2263,79,27
"Mar 04",3089,587,2706,107,28
"Mar 05",3858,769,3296,148,41
"Mar 06",4636,778,3916,197,49
"Mar 07",5883,1247,5061,233,36
"Mar 08",7375,1492,6387,366,133
"Mar 09",9172,1797,7985,463,97
"Mar 10",10149,977,8514,631,168
"Mar 11",12462,2313,10590,827,196
"Mar 12",15113,2651,12839,1016,189
"Mar 13",17660,2547,14955,1266,250
"Mar 14",21157,3497,17750,1441,175
"Mar 15",24747,3590,20603,1809,368
"Mar 16",27980,3233,23073,2158,349
"Mar 17",31506,3526,26062,2503,345
"Mar 18",35713,4207,28710,2978,475
"Mar 19",41035,5322,33190,3405,427
"Mar 20",47021,5986,37860,4032,627
"Mar 21",53578,6557,42681,4825,793
"Mar 22",59138,5560,46638,5476,651
"Mar 23",63927,4789,50418,6077,601
"Mar 24",69176,5249,54030,6820,743
"Mar 25",74386,5210,57521,7503,683
"Mar 26",80589,6203,62013,8215,712
"Mar 27",86498,5909,66414,9134,919
"Mar 28",92472,5974,70065,10023,889
"Mar 29",97689,5217,73880,10779,756
"Mar 30",101739,4050,75528,11591,812
"Mar 31",105792,4053,77635,12428,837
"Apr 01",110574,4782,80572,13155,727
"Apr 02",115242,4668,83049,13915,760
"Apr 03",119827,4585,85388,14681,766
"Apr 04",124632,4805,88274,15362,681
"Apr 05",128948,4316,91246,15887,525

