Dates,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
"Feb 15",0,0,0,0,0
"Feb 16",0,0,0,0,0
"Feb 17",0,0,0,0,0
"Feb 18",0,0,0,0,0
"Feb 19",0,0,0,0,0
"Feb 20",0,0,0,0,0
"Feb 21",0,0,0,0,0
"Feb 22",0,0,0,0,0
"Feb 23",0,0,0,0,0
"Feb 24",0,0,0,0,0
"Feb 25",0,0,0,0,0
"Feb 26",0,0,0,0,0
"Feb 27",0,0,0,0,0
"Feb 28",0,0,0,0,0
"Feb 29",0,0,0,0,0
"Mar 01",0,0,0,0,0
"Mar 02",1,0,1,0,0
"Mar 03",1,0,1,0,0
"Mar 04",1,0,1,0,0
"Mar 05",2,1,2,0,0
"Mar 06",2,0,2,0,0
"Mar 07",2,0,2,0,0
"Mar 08",2,0,2,0,0
"Mar 09",2,0,2,0,0
"Mar 10",3,1,2,1,1
"Mar 11",6,3,5,1,0
"Mar 12",6,0,5,1,0
"Mar 13",7,1,5,1,0
"Mar 14",18,11,16,1,0
"Mar 15",28,10,26,1,0
"Mar 16",37,9,35,1,0
"Mar 17",44,7,41,2,1
"Mar 18",54,10,51,2,0
"Mar 19",63,9,59,2,0
"Mar 20",86,23,81,3,1
"Mar 21",96,10,90,3,0
"Mar 22",115,19,108,4,1
"Mar 23",143,28,134,4,0
"Mar 24",170,27,159,5,1
"Mar 25",225,55,212,6,1
"Mar 26",275,50,256,11,5
"Mar 27",345,70,311,23,12
"Mar 28",402,57,365,25,2
"Mar 29",479,77,440,26,1
"Mar 30",556,77,508,33,7
"Mar 31",617,61,557,36,3
"Apr 01",654,37,586,39,3
"Apr 02",708,54,633,44,5
"Apr 03",791,83,686,48,4
"Apr 04",919,128,794,59,11
"Apr 05",1021,102,875,70,11
"Apr 06",1120,99,959,80,10

