Dates,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
"Feb 15",28,0,19,0,0
"Feb 16",29,1,20,0,0
"Feb 17",30,1,20,0,0
"Feb 18",31,1,19,0,0
"Feb 19",58,27,42,0,0
"Feb 20",111,53,94,1,1
"Feb 21",209,98,190,2,1
"Feb 22",436,227,416,2,0
"Feb 23",602,166,578,6,4
"Feb 24",833,231,803,8,2
"Feb 25",977,144,944,11,3
"Feb 26",1261,284,1225,12,1
"Feb 27",1766,505,1729,13,1
"Feb 28",2337,571,2297,16,3
"Feb 29",3150,813,3109,17,1
"Mar 01",3736,586,3685,21,4
"Mar 02",4335,599,4277,28,7
"Mar 03",5186,851,5120,32,4
"Mar 04",5621,435,5498,35,3
"Mar 05",6284,663,6107,42,7
"Mar 06",6593,309,6415,43,1
"Mar 07",7041,448,6875,48,5
"Mar 08",7313,272,7097,50,2
"Mar 09",7478,165,7178,53,3
"Mar 10",7513,35,7165,60,7
"Mar 11",7755,242,7362,60,0
"Mar 12",7869,114,7293,66,6
"Mar 13",7979,110,7198,67,1
"Mar 14",8086,107,7180,72,5
"Mar 15",8162,76,7253,75,3
"Mar 16",8236,74,7024,75,0
"Mar 17",8320,84,6838,81,6
"Mar 18",8413,93,6789,84,3
"Mar 19",8565,152,6527,91,7
"Mar 20",8652,87,6325,94,3
"Mar 21",8799,147,6085,102,8
"Mar 22",8897,98,5884,104,2
"Mar 23",8961,64,5684,111,7
"Mar 24",9037,76,5410,120,9
"Mar 25",9137,100,5281,126,6
"Mar 26",9241,104,4966,131,5
"Mar 27",9332,91,4665,139,8
"Mar 28",9478,146,4523,144,5
"Mar 29",9583,105,4398,152,8
"Mar 30",9661,78,4275,158,6
"Mar 31",9786,125,4216,162,4
"Apr 01",9887,101,4155,165,3
"Apr 02",9976,89,3979,169,4
"Apr 03",10062,86,3867,174,5
"Apr 04",10156,94,3654,177,3
"Apr 05",10237,81,3591,183,6

