Dates,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
"Feb 15",0,0,0,0,0
"Feb 16",0,0,0,0,0
"Feb 17",0,0,0,0,0
"Feb 18",0,0,0,0,0
"Feb 19",0,0,0,0,0
"Feb 20",0,0,0,0,0
"Feb 21",0,0,0,0,0
"Feb 22",0,0,0,0,0
"Feb 23",0,0,0,0,0
"Feb 24",0,0,0,0,0
"Feb 25",1,0,1,0,0
"Feb 26",1,0,1,0,0
"Feb 27",8,7,8,0,0
"Feb 28",15,7,15,0,0
"Feb 29",19,4,19,0,0
"Mar 01",24,5,23,0,0
"Mar 02",30,6,29,0,0
"Mar 03",58,28,56,0,0
"Mar 04",93,35,90,0,0
"Mar 05",120,27,116,1,1
"Mar 06",214,94,210,1,0
"Mar 07",268,54,264,1,0
"Mar 08",332,64,327,2,1
"Mar 09",374,42,369,2,0
"Mar 10",497,123,491,3,1
"Mar 11",652,155,644,4,1
"Mar 12",868,216,857,7,3
"Mar 13",1139,271,1124,11,4
"Mar 14",1375,236,1358,13,2
"Mar 15",2217,842,2199,14,1
"Mar 16",2353,136,2330,19,5
"Mar 17",2742,389,2700,27,8
"Mar 18",3115,373,3067,33,6
"Mar 19",4222,1107,4164,43,10
"Mar 20",5615,1393,5544,56,13
"Mar 21",6863,1248,6652,80,24
"Mar 22",7474,611,7245,98,18
"Mar 23",8795,1321,8544,120,22
"Mar 24",9877,1082,9624,122,2
"Mar 25",10897,1020,10613,153,31
"Mar 26",11811,914,11488,192,39
"Mar 27",12928,1117,11167,231,39
"Mar 28",14076,1148,12282,264,33
"Mar 29",14829,753,12934,300,36
"Mar 30",15922,1093,13740,359,59
"Mar 31",16605,683,14349,433,74
"Apr 01",17768,1163,14313,488,55
"Apr 02",18827,1059,14278,536,48
"Apr 03",19606,779,14169,591,55
"Apr 04",20505,899,13424,666,75
"Apr 05",21100,595,13970,715,49

