Dates,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
"Feb 15",34,0,20,0,0
"Feb 16",34,0,20,0,0
"Feb 17",35,1,20,0,0
"Feb 18",35,0,18,0,0
"Feb 19",35,0,18,0,0
"Feb 20",35,0,18,0,0
"Feb 21",35,0,16,0,0
"Feb 22",35,0,15,0,0
"Feb 23",35,0,14,0,0
"Feb 24",35,0,20,0,0
"Feb 25",37,2,15,0,0
"Feb 26",40,3,18,0,0
"Feb 27",40,0,12,0,0
"Feb 28",41,1,13,0,0
"Feb 29",42,1,14,0,0
"Mar 01",42,0,11,1,1
"Mar 02",43,1,12,1,0
"Mar 03",43,0,12,1,0
"Mar 04",43,0,12,1,0
"Mar 05",47,4,15,1,0
"Mar 06",48,1,16,1,0
"Mar 07",50,2,18,1,0
"Mar 08",50,0,16,1,0
"Mar 09",50,0,16,1,0
"Mar 10",53,3,19,1,0
"Mar 11",59,6,24,1,0
"Mar 12",70,11,34,1,0
"Mar 13",75,5,39,1,0
"Mar 14",82,7,46,1,0
"Mar 15",114,32,78,1,0
"Mar 16",147,33,111,1,0
"Mar 17",177,30,135,1,0
"Mar 18",212,35,169,1,0
"Mar 19",272,60,229,1,0
"Mar 20",322,50,279,1,0
"Mar 21",411,89,366,1,0
"Mar 22",599,188,554,1,0
"Mar 23",721,122,668,1,0
"Mar 24",827,106,771,4,3
"Mar 25",934,107,860,4,0
"Mar 26",1045,111,953,4,0
"Mar 27",1136,91,1034,5,1
"Mar 28",1245,109,1142,6,1
"Mar 29",1388,143,1152,7,1
"Mar 30",1524,136,1286,9,2
"Mar 31",1651,127,1299,10,1
"Apr 01",1771,120,1254,12,2
"Apr 02",1875,104,1355,15,3
"Apr 03",1978,103,1347,19,4
"Apr 04",2067,89,1373,20,1
"Apr 05",2169,102,1353,23,3
"Apr 06",2220,51,1401,26,3

