Dates,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
"Feb 15",0,0,0,0,0
"Feb 16",0,0,0,0,0
"Feb 17",0,0,0,0,0
"Feb 18",0,0,0,0,0
"Feb 19",0,0,0,0,0
"Feb 20",0,0,0,0,0
"Feb 21",0,0,0,0,0
"Feb 22",0,0,0,0,0
"Feb 23",0,0,0,0,0
"Feb 24",0,0,0,0,0
"Feb 25",0,0,0,0,0
"Feb 26",0,0,0,0,0
"Feb 27",0,0,0,0,0
"Feb 28",0,0,0,0,0
"Feb 29",0,0,0,0,0
"Mar 01",0,0,0,0,0
"Mar 02",1,0,1,0,0
"Mar 03",1,0,1,0,0
"Mar 04",1,0,1,0,0
"Mar 05",1,0,1,0,0
"Mar 06",1,0,1,0,0
"Mar 07",1,0,1,0,0
"Mar 08",2,1,2,0,0
"Mar 09",5,3,5,0,0
"Mar 10",6,1,6,0,0
"Mar 11",7,1,7,0,0
"Mar 12",13,6,13,0,0
"Mar 13",16,3,16,0,0
"Mar 14",18,2,18,0,0
"Mar 15",20,2,20,0,0
"Mar 16",24,4,24,0,0
"Mar 17",27,3,26,0,0
"Mar 18",29,2,28,0,0
"Mar 19",39,10,37,1,1
"Mar 20",54,15,52,1,0
"Mar 21",60,6,58,1,0
"Mar 22",75,15,71,3,2
"Mar 23",89,14,85,3,0
"Mar 24",114,25,109,4,1
"Mar 25",173,59,166,5,1
"Mar 26",197,24,190,5,0
"Mar 27",227,30,218,7,2
"Mar 28",278,51,268,8,1
"Mar 29",312,34,302,8,0
"Mar 30",362,50,350,9,1
"Mar 31",394,32,381,10,1
"Apr 01",423,29,406,12,2
"Apr 02",455,32,436,14,2
"Apr 03",495,40,472,18,4
"Apr 04",553,58,530,18,0
"Apr 05",574,21,547,22,4
"Apr 06",596,22,569,22,0
"Apr 07",623,27,575,23,1
"Apr 08",628,5,579,24,1
"Apr 09",643,15,593,25,1
"Apr 10",671,28,621,25,0
"Apr 11",685,14,614,28,3
"Apr 12",707,22,633,31,3
"Apr 13",726,19,649,34,3
"Apr 14",747,21,670,34,0
"Apr 15",780,33,702,35,1
"Apr 16",822,42,742,37,2

