Dates,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
"Feb 15",9,0,1,0,0
"Feb 16",9,0,1,0,0
"Feb 17",9,0,1,0,0
"Feb 18",9,0,1,0,0
"Feb 19",9,0,1,0,0
"Feb 20",9,0,1,0,0
"Feb 21",9,0,1,0,0
"Feb 22",9,0,1,0,0
"Feb 23",13,4,5,0,0
"Feb 24",13,0,5,0,0
"Feb 25",13,0,5,0,0
"Feb 26",13,0,5,0,0
"Feb 27",16,3,8,0,0
"Feb 28",20,4,12,0,0
"Feb 29",23,3,15,0,0
"Mar 01",36,13,28,0,0
"Mar 02",39,3,31,0,0
"Mar 03",51,12,43,0,0
"Mar 04",87,36,79,0,0
"Mar 05",116,29,97,1,1
"Mar 06",164,48,144,2,1
"Mar 07",209,45,189,2,0
"Mar 08",278,69,257,3,1
"Mar 09",321,43,298,5,2
"Mar 10",383,62,359,6,1
"Mar 11",460,77,434,8,2
"Mar 12",590,130,562,10,2
"Mar 13",798,208,769,11,1
"Mar 14",1140,342,1101,21,10
"Mar 15",1391,251,1336,35,14
"Mar 16",1543,152,1436,55,20
"Mar 17",1950,407,1814,71,16
"Mar 18",2626,676,2457,104,33
"Mar 19",3269,643,3060,144,40
"Mar 20",3983,714,3741,177,33
"Mar 21",5018,1035,4692,233,56
"Mar 22",5683,665,5309,281,48
"Mar 23",6650,967,6180,335,54
"Mar 24",8077,1427,7520,422,87
"Mar 25",9529,1452,8931,463,41
"Mar 26",11658,2129,10945,578,115
"Mar 27",14543,2885,13649,759,181
"Mar 28",17089,2546,15935,1019,260
"Mar 29",19522,2433,18159,1228,209
"Mar 30",22141,2619,20598,1408,180
"Mar 31",25150,3009,23226,1789,381
"Apr 01",29474,4324,26987,2352,563
"Apr 02",33718,4244,30662,2921,569
"Apr 03",38168,4450,34428,3605,684
"Apr 04",41903,3735,37455,4313,708
"Apr 05",47806,5903,42737,4934,621
"Apr 06",51608,3802,46100,5373,439
"Apr 07",55242,3634,48948,6159,786
"Apr 08",60733,5491,53501,7097,938
"Apr 09",65077,4344,56964,7978,881
"Apr 10",73758,8681,64456,8958,980
"Apr 11",78991,5233,68772,9875,917
"Apr 12",84279,5288,73323,10612,737
"Apr 13",88621,4342,76948,11329,717
"Apr 14",93873,5252,81422,12107,778
"Apr 15",98476,4603,85264,12868,761
"Apr 16",103093,4617,89020,13729,861

