Dates,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
"Feb 15",15,0,12,0,0
"Feb 16",15,0,12,0,0
"Feb 17",15,0,12,0,0
"Feb 18",15,0,12,0,0
"Feb 19",15,0,12,0,0
"Feb 20",15,0,10,0,0
"Feb 21",35,20,29,0,0
"Feb 22",35,0,29,0,0
"Feb 23",35,0,28,0,0
"Feb 24",53,18,48,0,0
"Feb 25",57,4,51,0,0
"Feb 26",60,3,54,0,0
"Feb 27",60,0,54,0,0
"Feb 28",63,3,57,0,0
"Feb 29",68,5,60,1,1
"Mar 01",75,7,65,1,0
"Mar 02",100,25,85,6,5
"Mar 03",124,24,106,9,3
"Mar 04",158,34,138,11,2
"Mar 05",221,63,200,12,1
"Mar 06",319,98,289,15,3
"Mar 07",435,116,401,19,4
"Mar 08",541,106,504,22,3
"Mar 09",704,163,663,26,4
"Mar 10",994,290,949,30,4
"Mar 11",1301,307,1248,38,8
"Mar 12",1630,329,1581,41,3
"Mar 13",2183,553,2126,48,7
"Mar 14",2770,587,2664,57,9
"Mar 15",3613,843,3484,69,12
"Mar 16",4596,983,4434,87,18
"Mar 17",6344,1748,6127,110,23
"Mar 18",9197,2853,8940,150,40
"Mar 19",13779,4582,13464,206,56
"Mar 20",19367,5588,18965,255,49
"Mar 21",24192,4825,23720,301,46
"Mar 22",33592,9400,33000,414,113
"Mar 23",43781,10189,42930,555,141
"Mar 24",54856,11075,53697,780,225
"Mar 25",68211,13355,66790,1027,247
"Mar 26",85435,17224,82272,1295,268
"Mar 27",104126,18691,99909,1695,400
"Mar 28",123578,19452,118127,2220,525
"Mar 29",143491,19913,136349,2583,363
"Mar 30",163788,20297,155141,3141,558
"Mar 31",188530,24742,177226,4053,912
"Apr 01",215003,26473,201023,5102,1049
"Apr 02",244877,29874,228398,6076,974
"Apr 03",277161,32284,257757,7121,1045
"Apr 04",311357,34196,288081,8451,1330
"Apr 05",336673,25316,309080,9616,1165

